,IP,Port,URL,Inverter Type,Latitude,Longitude,Title,Other,Capacity,# of Microinverters
204,72.130.196.224,80,http://72.130.196.224/home,enphase envoy,21.4504,-158.01503,,,7.65,
205,76.173.200.90,80,http://76.173.200.90/home,enphase envoy,21.39994,-157.79895,,,7.65,
206,72.234.235.250,30080,http://72.234.235.250:30080/plant.cgi,Power Electronics FreeSun Data Logger,21.4504,-158.01503,AlohaSun,,0.184,
207,76.172.35.166,80,http://76.172.35.166/,ABB,21.39734,-157.97516,CDD Webserver: hkubota,"98-1321 Hoohonua St; (N21.39566, W157.959722)",5.7,
208,72.234.113.52,80,http://72.234.113.52/,enphase,21.33999,-158.03039,,,220,22
210,,,https://egauge109166.egaug.es/68806/classic.html,egauge,21.3099,-157.858093,Building and AC Loads,modbus server,0,
211,,,https://egauge62939.egaug.es,egauge,21.33555,-158.0582,Element Canopy 1 Building 3,,32.709,
212,,,http://egauge6059.egauge.es,egauge,21.307554,-157.847519,Ike 6059 - Sky Tower,,53.921,
213,,,http://egauge6057.egauge.es,egauge,21.442471,-158.15007,Kuwale Road - Ohana Ola O Kahumana,,19.771,
214,,, http://egauge6056.egauge.es,egauge,21.441807,-158.153107,Building A - Ohana Ola O Kahumana,,50.459,
215,,,http://egauge6055.egauge.es,egauge,21.440275,-158.155579,Gradalis Hall - Kahumana,,14.919,
216,,,http://egauge6052.egauge.es,egauge,21.441971,-158.151596,Building C (U Shape) - Ohana Ola O Kahumana,,14,
217,,,http://egauge6051.egauge.es,egauge,21.44009,-158.155609,Pump Meter - Kahumana,,11.764,
218,,,http://egauge6050.egauge.es,egauge,21.44009,-158.155609,Rectory/Convent - Kahumana,,4.236,
219,,,http://egauge6045.egauge.es,egauge,21.439989,-158.15535,Raphael House - Kahumana,,0,
220,,,http://egauge6044.egauge.es,egauge,21.439705,-158.156693,Pottery/Office - Kahumana,,3.715,
221,,,http://egauge6041.egauge.es,egauge,21.439917,-158.156754,Tobias Hall - Kahumana,,18.3,
222,,,http://egauge793.egauge.es,egauge,21.298126,-157.816528,FROG 2,,0,
223,,,http://egauge791.egauge.es,egauge,21.335852,-157.951752,FROG 1,,0,
224,,,http://egauge7982.egauge.es,egauge,21.64309075,-157.9251714,7982 - Data Center set 1 w/ DC Usage,modbus server,0,
225,,,http://egauge7981.egauge.es,egauge,21.64309075,-157.9251714,07981 - Teachers Education Building,modbus server,0,
226,,,http://egauge7979.egauge.es,egauge,21.64309075,-157.9251714,Hale 4 & 6 w/ Main,modbus server,0,
227,,,http://egauge7978.egauge.es,egauge,21.64309075,-157.9251714,7978 - Hale 8,modbus server,0,
228,,,http://egauge7976.egauge.es,egauge,21.64309075,-157.9251714,7976 - Hale 10 Set 2 Sub panels,modbus server,0,
229,,,http://egauge7975.egauge.es,egauge,21.64309075,-157.9251714,"7975 - Hale 3 & 5 w/ Mains for Hale 3 & 5, FM Office & Cont.",modbus server,0,
230,,,http://egauge7972.egauge.es,egauge,21.64309075,-157.9251714,Hale 7 Set 2,modbus server,0,
231,,,http://egauge7971.egauge.es,egauge,21.640181,-157.923386,7971 - GYM Main,modbus server,0,
232,,,http://egauge7966.egauge.es,egauge,21.64309075,-157.9251714,7966 - ACR Set 1 w/ Main Metering,modbus server,0,
233,,,http://egauge7964.egauge.es,egauge,21.64309075,-157.9251714,7964 - MPB Set 5,modbus server,0,
234,,,http://egauge7963.egauge.es,egauge,21.64309075,-157.9251714,7963 - MPB Set 4,modbus server,0,
235,,,http://egauge7962.egauge.es,egauge,21.64309075,-157.9251714,7962 - MPB Set 3,modbus server,0,
236,,,http://egauge7959.egauge.es,egauge,21.64309075,-157.9251714,"7959 - MPB Set 1 - W/ MCB, MFB & MCKAD",modbus server,0,
237,,,http://egauge7958.egauge.es,egauge,21.64309075,-157.9251714,7958 - GYM 100 set 3,modbus server,0,
239,,,http://egauge7955.egauge.es,egauge,21.64309075,-157.9251714,7955 - Data Center set 3 w/AC Tot,modbus server,0,
240,,,http://egauge7953.egauge.es,egauge,21.64309075,-157.9251714,7953 - Hale 10 Set 1 w/ Main Metering,modbus server,0,
241,,,http://egauge7952.egauge.es,egauge,21.64309075,-157.9251714,7952 - Hale 9 w/ Main,modbus server,0,
242,,,http://egauge7951.egauge.es,egauge,21.64309075,-157.9251714,7951 - Hale 8 w/ Main,modbus server,0,
243,,,http://egauge7950.egauge.es,egauge,21.64309075,-157.9251714,7950 - Hale 7 Set 1 w/ Main,modbus server,0,
244,,,http://egauge7948.egauge.es,egauge,21.64309075,-157.9251714,7948 - CAC Panels set 5,modbus server,0,
245,,,http://egauge7947.egauge.es,egauge,21.64309075,-157.9251714,7947 - CAC Panels set 4,modbus server,0,
246,,,http://egauge7946.egauge.es,egauge,21.64309075,-157.9251714,7946 - HOB Office and Laundry,modbus server,0,
247,,,http://egauge7945.egauge.es,egauge,21.64309075,-157.9251714,7945 - CUB Pumps,modbus server,0,
248,,,http://egauge13569.egauge.es,egauge,21.3094,-157.837,Makiki Holiday,modbus server,30.371,
249,,,http://egauge13862.egaug.es,egauge,21.283108,-157.790222,Abirached Residence - Koko Drive,modbus server,0,
250,,,http://egauge13865.egaug.es,egauge,21.34730285,-157.9003599,eGauge13865 Center,,2.653,
251,,,https://egauge14586.egaug.es,egauge,21.294498,157.847977,eGauge14586 Center,modbus server,9.483,
252,,,https://egauge14652.egaug.es,egauge,21.647,-157.9213,14652 - Hawaiian Journey Theater Service Entrence,modbus server,0,
253,,,,egauge,21.34730285,-157.9003599,Temple Emanuel A-24.75 kDC/22kAC B-10.5kDC/9kAC C-7kDC/6kAC,modbus server,27.419,
254,,,,egauge,21.330883,-157.867554,Damien Memorial School,,102.598,
255,,,,egauge,21.34730285,-157.9003599,7000 Hawaii Kai Bldg B,modbus server,97.618,
256,,,,egauge,21.306452,-157.842896,Pensacola Gardens,,39.65,
258,,,,egauge,21.34730285,-157.9003599,705 S. King st,,28.566,
259,,,,egauge,21.65096035,-158.0515221,59-444 Alapio Downstairs Panel,modbus server,0,
260,,,,egauge,21.3946,-157.7434,St. Anthony Kailua Library,modbus server,47.007,
261,,,,egauge,21.3946,-157.7434,St. Anthony Kailua Church,modbus server,6.096,
262,,,,egauge,21.36153759,-158.0825364,Makakilo Cliffs BLD 12 CAM,modbus server,2.221,
263,,,,egauge,21.3946,-157.7434,St. Anthony Kailua ELC 18790,modbus server,15.224,
264,,,,egauge,21.50698916,-157.8559904,Coral Kingdom 62.25 kW DC / 54 kW AC,modbus server,8.461,
265,,,,egauge,21.34730285,-157.9003599,Interstate Building PV,,61.362,
266,,,,egauge,21.34730285,-157.9003599,Harris United Methodist Church,modbus server,19.73,
