ip,latitude,longitude,label
166.140.208.1,37.36883,-122.03635,solar
166.140.209.211,37.36883,-122.03635,solar
166.140.209.63,37.36883,-122.03635,solar
166.140.211.35,37.36883,-122.03635,solar
166.140.211.93,37.36883,-122.03635,solar
166.140.211.94,37.36883,-122.03635,solar
166.140.211.95,37.36883,-122.03635,solar
166.140.211.96,37.36883,-122.03635,solar
166.140.211.97,37.36883,-122.03635,solar
166.140.211.98,37.36883,-122.03635,solar
166.140.213.46,37.36883,-122.03635,solar
166.140.215.145,37.36883,-122.03635,solar
166.140.215.148,37.36883,-122.03635,solar
166.140.23.31,37.36883,-122.03635,solar
166.140.231.14,37.36883,-122.03635,solar
166.140.238.181,37.36883,-122.03635,solar
166.140.27.26,37.36883,-122.03635,solar
166.140.30.147,37.36883,-122.03635,solar
166.140.30.150,37.36883,-122.03635,solar
166.140.38.114,37.36883,-122.03635,solar
166.140.38.115,37.36883,-122.03635,solar
166.140.38.116,37.36883,-122.03635,solar
166.140.4.6,37.36883,-122.03635,solar
166.140.47.185,37.36883,-122.03635,solar
166.140.48.41,37.36883,-122.03635,solar
166.140.48.51,37.36883,-122.03635,solar
166.140.48.54,37.36883,-122.03635,solar
166.140.49.116,37.36883,-122.03635,solar
166.140.57.144,37.36883,-122.03635,solar
166.140.57.171,37.36883,-122.03635,solar
166.140.57.173,37.36883,-122.03635,solar
166.140.69.18,37.36883,-122.03635,solar
166.140.73.198,37.36883,-122.03635,solar
166.140.73.199,37.36883,-122.03635,solar
166.140.77.67,37.36883,-122.03635,solar
166.140.79.137,37.36883,-122.03635,solar
166.140.79.144,37.36883,-122.03635,solar
166.140.87.205,37.36883,-122.03635,solar
166.140.9.123,37.36883,-122.03635,solar
166.140.9.152,37.36883,-122.03635,solar
166.140.93.182,37.36883,-122.03635,solar
166.144.105.178,37.36883,-122.03635,solar
166.144.105.182,37.36883,-122.03635,solar
166.144.105.187,37.36883,-122.03635,solar
166.144.112.74,37.36883,-122.03635,solar
166.144.112.77,37.36883,-122.03635,solar
166.144.112.85,37.36883,-122.03635,solar
166.144.113.151,37.36883,-122.03635,solar
166.144.118.245,37.36883,-122.03635,solar
166.144.118.247,37.36883,-122.03635,solar
166.144.118.253,37.36883,-122.03635,solar
166.144.119.13,37.36883,-122.03635,solar
166.144.119.14,37.36883,-122.03635,solar
166.144.119.17,37.36883,-122.03635,solar
166.144.119.2,37.36883,-122.03635,solar
166.144.119.20,37.36883,-122.03635,solar
166.144.121.58,37.36883,-122.03635,solar
166.144.121.63,37.36883,-122.03635,solar
166.144.121.66,37.36883,-122.03635,solar
166.144.128.76,37.36883,-122.03635,solar
166.144.131.46,37.36883,-122.03635,solar
166.144.133.143,37.36883,-122.03635,solar
166.144.133.150,37.36883,-122.03635,solar
166.144.133.163,37.36883,-122.03635,solar
166.144.133.170,37.36883,-122.03635,solar
166.144.133.178,37.36883,-122.03635,solar
166.144.133.183,37.36883,-122.03635,solar
166.144.14.141,37.36883,-122.03635,solar
166.144.14.142,37.36883,-122.03635,solar
166.144.14.144,37.36883,-122.03635,solar
166.144.14.149,37.36883,-122.03635,solar
166.144.14.150,37.36883,-122.03635,solar
166.144.146.142,37.36883,-122.03635,solar
166.144.146.143,37.36883,-122.03635,solar
166.144.158.20,37.36883,-122.03635,solar
166.144.161.30,37.36883,-122.03635,solar
166.144.167.76,37.36883,-122.03635,solar
